first played, last played, playtime/mins, money,jrmcStrI,jrmcDexI,jrmcCnsI,jrmcWilI,jrmcIntI,jrmcCncI
1514567840924,1674325140842,7537511,0.0,680,750,775,15,420,430
1667660146097,1668104041887,11164,0,15,10,10,15,5,5
1677544360411,1678922538352,2132431,206.81,100,60,100,15,120,45
1470580028598,1682599101670,45211147,74187.87329070876173,83515,23000,71085,15,13909,22532
1638214635257,1669304269250,95833,0.0,15,10,10,15,5,5
1661571628042,1661744978287,1250180,0.0,101,80,182,16,80,30
1649258066825,1649585102374,772866,0.0,52,75,138,15,160,19
1679760845173,1681408823963,3728244,4904.0,250,105,65,15,275,170
1651140680324,1651216353189,468387,16888.0,10,12,60,40,51,60
1651338419261,1687894543219,816053,0.0,44,32,30,24,48,20
1650742388062,1650742727722,553978,0,17,10,10,15,5,5
1688118220701,1688121711171,42406,0.0,10,5,15,10,5,15
1673227992341,1673231380648,67194,0.0,20,16,20,15,10,7
1669374277769,1669557496144,628718,243.26,54,25,54,15,30,10
1672684881390,1672691358681,90560,84.0,18,5,15,10,5,15
1688895048728,1689109388406,783642,932.0,101,98,158,15,130,76
1658317204978,1658318990321,35463,0,19,10,10,15,5,5
1560190424953,1673895635585,531590,0.0,1082,509,1443,32,559,670
1666157062312,1666157317586,5012,0,15,10,10,15,5,5
1685930368643,1686108523093,1206365,0.0,31,20,14,16,14,7
1659049272465,1659792349085,855026,67.015,95,100,70,30,105,40
1662326423743,1662326534139,224084,0,10,10,10,15,10,5
1654488551236,1654542271592,195316,0.0,30,11,20,15,26,5
1677976519262,1678061648943,3080,0,10,10,10,15,10,5
1650940515560,1650941504248,18972,0.0,15,10,10,15,5,5
1651938918322,1651944882101,101472,0.0,15,10,10,15,5,5
1552520784978,1681589617045,3299087,97798.19,291,230,190,101,275,73
1666359586242,1666549743211,520586,52.10,35,34,34,24,75,26
1685235843929,1685795591652,565726,265.0,58,29,27,20,54,15
1647183531486,1657920778875,171959,0.0,35,25,57,15,50,5
1686512366980,1686653124031,128537,0.0,53,21,19,15,12,9
1683332108596,1685268183850,8606059,141529.47,1180,1000,1200,22,335,520
1632179036717,1677346699678,126016,0.0,10,10,10,20,10,10
1678449304095,1678451245192,37762,0,17,11,14,15,7,5
1669409430813,1669446044791,643908,0.0,25,10,12,26,40,13
1671386929728,1671387780958,13288,0.0,10,5,15,10,5,15
1679727921282,1679728228200,5989,0,15,10,10,15,5,5
1653912916540,1653934948556,10336,0,15,10,10,15,5,5
1661200152626,1661200566878,8048,0,15,10,10,15,5,5
1684577797719,1684585476021,120206,0.0,10,10,10,15,13,5
1681221830593,1688468193800,1198089,746.0,200,70,100,20,150,30
1654467389311,1681089530230,4139123,26087.51,230,250,300,15,285,80
1688507308130,1688507510993,3781,0,10,10,10,15,10,5
1674254372057,1674256463257,40080,0.0,10,10,10,15,10,5
1653185347399,1681585057787,1025264,37532.25,24,25,20,15,36,9
1584330209627,1650144436072,87888,0.0,48,28,20,20,59,14
1677316098999,1678076244506,644122,432.0,37,14,18,15,45,5
1659284843747,1660243506248,1158082,0.0,39,43,16,22,36,8
1683064356293,1687684667657,17282671,290015.73849140547800001,17800,17800,35600,7,2800,8900
1670708062011,1671553565131,2549941,0.4052347218710172901,309,274,274,15,100,83
1666867838219,1666870564321,54314,0.0,20,30,10,15,5,5
1675466270296,1675467554788,25474,0,5,5,7,10,15,18
1679066801312,1679122774850,67236125,73.0,22,17,10,15,10,5
1665039005138,1665040034610,20445,0,27,10,10,15,5,5
1671958699889,1671960911887,44084,0,17,13,20,15,5,5
1636165054754,1671089776667,2878266,1469.0,133,61,202,41,313,177
1679448683313,1679451765546,58206,12999.0,18,17,10,15,5,5
1623575285430,1677615216317,3649752,32469.005,238,231,215,50,465,375
1650889928938,1650899645249,192717,7.0,33,10,15,16,5,7
1661037728016,1661102387151,11188,0,10,10,10,10,10,10
1684015289019,1684166912659,94389,0.0,10,10,10,15,11,5
1663905966492,1678111469693,2127344,0.0,10,10,10,15,10,5
1658749005984,1659086762267,75342,0.0,15,10,10,15,5,5
1638005974494,1681303678525,1117361,192.48,80,20,79,17,68,10
1643231374110,1684688481931,1411666,364.0,66,31,30,15,33,9
1664328697118,1664329469268,13516,0,16,10,10,15,5,5
1650553805942,1660358672081,39022,0,23,10,14,15,5,5
1658682730286,1664232356658,10038838,45920.14968814149793,1825,200,1741,20,1155,1509
1661447181191,1662460944864,23715,0,15,10,10,15,5,5
1656811943767,1688492639382,259441,0.0,10,10,18,10,10,10
1663351875713,1663355601752,52849,0,11,10,10,10,10,10
1688597379576,1688597720347,6153,0,15,10,10,15,5,5
1659942401291,1659945663430,64885,0.0,15,9,20,11,12,20
1662003120569,1662006915327,75400,0.0,10,10,10,15,10,5
1684341548002,1687006447117,7410594,37641.5,1400,1400,2100,15,250,601
1681131034858,1681131734215,13624,0,10,10,10,15,10,5
1678858250786,1678859116003,12487,0,10,10,10,10,10,10
1663973241421,1663974093702,14813,0.0,15,10,10,15,5,5
1677189062080,1677190660114,31189,0.0,16,10,10,15,5,5
1665245652014,1665308291561,206692,0.0,33,24,20,15,10,10
1665259829391,1665941462206,1845934,0.0,52,34,30,15,35,8
1585827771602,1686000823359,1066321,144.0,100,66,62,62,134,64
1683056023434,1685669387108,178071,0.0,15,10,19,15,10,10
1643743351181,1654199015320,7714323,36.24,1000,1000,967,20,280,440
1664487593656,1665122445063,2112961,37.60,20,15,25,19,40,20
1674537479745,1674538748763,25004,0,20,10,10,15,5,5
1654866768973,1655496870463,912114,0.0,130,100,130,15,151,80
1651780081783,1651781795922,19378,0,10,10,10,15,10,5
1631139011566,1689065353628,132571059,11133930.010,52000,52000,89000,1500,10000,30000
1652713417850,1653127261134,4548056,0.0,11,11,11,15,11,5
1679671349285,1679734340864,95639,0.0,30,15,20,15,7,6
1688272832350,1688275971882,61361,0.0,18,11,12,15,10,5
1673665887285,1673668406084,49816,0.0,16,10,10,15,13,5
1570717258510,1664682255707,89065,430.900,5940,3170,4171,1315,1230,2208
1682186868374,1682270527475,149144,0.0,17,10,10,20,10,8
1672261900421,1672262881769,19437,0,15,10,10,15,5,5
1672533687613,1674520280041,2912785,103.0,270,110,498,15,155,100
1651224566137,1651225283489,11675,0,15,10,10,15,5,5
1636839002917,1656546871960,2873842,340.5,62,87,51,23,81,15
1653012021914,1682875013316,713588,25.0,19,110,210,15,361,5
1637477949895,1679184376242,364220,0.0,22,33,14,15,34,9
1670335911626,1670336510530,1097579,0.0,10,5,15,10,5,15
1686777315790,1687001802130,280394,159.5,69,10,27,15,12,6
1650691235925,1650702403044,58267,0.0,26,10,10,15,5,5
1673914469373,1685246516096,2315413,0.0,240,200,340,15,167,130
1671407803103,1671411466048,71966,0,15,10,10,15,5,5
1581029965751,1659479873817,1538328,0,60,45,70,40,105,45
1672170942029,1673626098355,1102844,157.00,63,40,40,18,90,7
1652632387793,1652656150983,395519,0.0,10,8,7,11,20,18
1664234875230,1664329439537,160354,0.0,16,12,10,15,7,6
1578944452624,1650881994883,519483,0.0,1000,600,1800,200,800,800
1673904670623,1673906165702,26485,0,15,10,10,15,5,5
1649163784842,1649254443448,26400,0,15,10,10,15,5,5
1660331158983,1660331408839,4926,0,10,10,10,15,10,5
1649367517360,1649370528570,59406,0.0,15,10,13,15,17,5
1671327044792,1671327448045,7939,0,17,10,10,15,5,5
1663719597271,1663720021964,8110,0,10,10,10,15,10,5
1653432948801,1653707841532,417681,88.10,27,25,37,20,25,6
1673739934982,1673899738831,91731,0,10,10,10,15,10,5
1664740978368,1664743541841,32878,0.0,12,10,10,15,13,5
1674353373913,1680914153266,97750,0.0,33,18,16,15,11,5
1666970949818,1666971970690,20197,0,15,10,10,15,5,5
1645500290051,1659221136779,3019624,1126.0,100,80,112,40,150,40
1649449196190,1649457278149,159693,0.0,23,20,26,15,5,14
1626454835408,1652796538990,436475,0,44,40,43,40,49,40
1671193926100,1671194374579,6164,0,15,10,10,15,5,5
1637614086850,1660287542847,223830,0.0,30,21,15,10,25,15
1588133905855,1670890787239,3609224,0.0,95,53,52,23,190,19
1667745060875,1667862751817,125082,0.0,39,9,15,14,16,18
1647952670632,1649171511842,1380005,135.0,121,120,165,40,135,50
1473616957741,1680431958244,3447587,10627.020385812377390,50015,35000,36000,100,4201,23603
1682045836780,1682052579405,132705,0.0,25,15,11,16,12,8
1673091254766,1674394023710,26088,0.0,10,10,15,15,10,5
1601931317528,1681155037072,32433761,114.00367346846051402,6000,5500,10000,100,1200,1200
1676037867879,1676038176299,5159,0,10,10,10,15,10,5
1662621040111,1662626968980,87976,0.0,22,12,12,24,17,6
1665391820661,1665393974605,42793,0.0,33,13,14,15,12,5
1624910002355,1684183273894,2058180,1089.0,101,110,70,15,115,21
1688671553356,1688672104031,10418,0,10,10,10,15,10,5
1661615986686,1661616413991,8137,0,10,10,10,15,10,5
1667670212877,1667678971734,168089,0.0,21,20,11,19,15,5
1649755964622,1649760271452,84833,0.0,23,14,16,15,5,5
1635828203158,1688776548330,13089954,1799213.0,2800,2600,2700,2600,900,1400
1629913425717,1686686775129,45489711,117471.55,16700,16700,17200,41,1740,5490
1682091951166,1682093883664,38240,0,10,10,10,15,10,5
1618504952866,1650149161835,427988,0.0,35,23,12,21,22,7
